cascade no, generation no, line no
755,4,293
756,1,228
757,1,331
757,1,93
757,1,79
757,1,31
758,1,51
759,1,41
760,1,8
761,1,161
762,1,333
763,1,176
764,1,302
764,1,278
765,1,32
766,1,239
767,1,243
768,1,334
769,1,255
769,2,255
770,1,335
771,1,152
772,1,2
773,1,8
774,1,29
775,1,252
776,1,79
777,1,223
778,1,208
779,1,182
780,1,336
781,1,41
781,2,42
782,1,92
783,1,135
783,1,134
784,1,134
784,2,135
785,1,92
786,1,134
786,1,135
786,2,368
787,1,252
788,1,134
788,2,446
789,1,2
790,1,337
791,1,177
791,2,491
792,1,317
793,1,37
794,1,270
795,1,42
795,1,41
796,1,42
797,1,41
798,1,213
799,1,192
800,1,24
801,1,338
802,1,126
803,1,128
804,1,180
804,2,59
804,3,179
805,1,339
806,1,134
807,1,214
808,1,340
809,1,180
810,1,341
811,1,28
812,1,291
813,1,52
814,1,41
814,1,42
815,1,42
816,1,41
817,1,42
818,1,2
819,1,41
820,1,8
821,1,218
822,1,101
822,2,142
822,3,142
822,3,143
822,4,143
822,4,144
822,5,143
822,5,144
823,1,8
824,1,177
824,2,492
824,3,400
824,3,491
825,1,214
826,1,41
827,1,213
828,1,2
829,1,42
830,1,18
831,1,142
832,1,86
833,1,214
833,1,213
834,1,131
835,1,41
836,1,342
837,1,272
838,1,8
839,1,42
840,1,92
841,1,4
842,1,92
843,1,2
844,1,62
845,1,200
845,1,343
845,1,249
846,1,17
846,2,17
846,3,17
846,4,76
846,5,13
846,5,114
846,6,202
846,7,49
846,7,198
846,8,17
846,9,26
846,9,286
846,10,17
846,11,73
846,11,75
846,12,13
846,12,73
846,12,85
847,1,65
848,1,322
849,1,24
850,1,344
850,2,345
850,2,346
850,3,181
850,3,431
851,1,235
852,1,69
853,1,228
854,1,341
855,1,42
856,1,2
857,1,85
858,1,2
859,1,234
859,1,317
860,1,306
861,1,198
862,1,234
863,1,24
863,2,232
863,3,42
864,1,286
865,1,347
866,1,8
867,1,86
868,1,44
869,1,41
870,1,2
871,1,117
872,1,65
873,1,254
874,1,200
875,1,31
876,1,173
877,1,27
877,1,29
878,1,223
878,2,220
879,1,8
880,1,27
881,1,2
882,1,8
882,2,8
882,3,425
883,1,96
883,2,96
883,3,96
884,1,2
885,1,8
886,1,8
887,1,336
888,1,253
888,2,25
888,2,253
889,1,42
890,1,348
890,2,1
891,1,349
892,1,32
893,1,187
893,2,275
893,3,187
893,3,275
893,4,185
893,4,187
893,4,275
893,5,59
893,5,186
893,6,40
893,6,214
893,7,64
893,7,173
893,8,216
893,8,313
893,9,217
893,10,214
893,11,218
893,12,217
893,13,219
894,1,101
895,1,2
896,1,97
897,1,179
898,1,2
899,1,115
900,1,328
900,1,342
900,1,64
900,1,113
901,1,42
902,1,149
903,1,115
904,1,315
904,2,139
905,1,60
906,1,42
907,1,315
907,2,315
907,3,247
907,3,315
907,4,50
907,4,247
907,5,50
907,5,54
907,5,140
907,6,55
907,6,129
907,6,140
907,6,164
907,6,495
907,7,31
907,7,54
907,7,528
907,8,97
907,8,518
907,9,97
907,10,496
907,11,97
907,12,228
907,13,97
907,13,528
907,14,228
908,1,214
909,1,42
910,1,3
911,1,219
911,1,206
911,2,38
912,1,192
913,1,272
914,1,32
915,1,41
916,1,350
917,1,17
918,1,300
918,1,165
919,1,67
920,1,275
921,1,8
922,1,340
923,1,67
923,2,235
924,1,8
925,1,312
925,2,56
925,3,200
925,3,211
925,4,290
925,5,380
925,5,381
926,1,6
927,1,312
928,1,74
929,1,287
930,1,73
931,1,347
932,1,239
933,1,256
934,1,97
934,2,97
935,1,42
935,2,42
936,1,39
937,1,24
938,1,275
938,2,187
938,3,293
939,1,45
940,1,37
940,1,199
941,1,256
942,1,2
943,1,32
944,1,350
945,1,353
946,1,307
947,1,162
948,1,213
949,1,214
950,1,213
951,1,8
952,1,198
953,1,97
954,1,214
955,1,354
956,1,301
956,1,214
957,1,3
958,1,230
959,1,42
960,1,65
961,1,92
962,1,17
963,1,50
964,1,355
964,1,118
965,1,7
966,1,31
967,1,79
968,1,267
969,1,103
970,1,325
971,1,325
972,1,8
973,1,316
974,1,45
975,1,45
976,1,8
977,1,97
978,1,278
978,1,302
979,1,238
980,1,65
981,1,136
981,2,487
982,1,92
983,1,256
984,1,92
985,1,103
986,1,270
987,1,302
987,1,278
988,1,148
988,2,384
989,1,356
989,1,347
990,1,65
991,1,213
992,1,357
993,1,299
994,1,92
995,1,316
996,1,148
997,1,358
997,2,166
997,3,166
998,1,10
999,1,253
999,1,281
1000,1,2
1001,1,8
1002,1,2
1003,1,2
1004,1,92
1005,1,2
1006,1,2
1007,1,2
1008,1,2
1009,1,2
1010,1,2
1011,1,214
1012,1,37
1013,1,282
1014,1,234
1015,1,148
1015,2,267
1016,1,256
1017,1,359
1018,1,92
1019,1,99
1019,2,99
1020,1,99
1021,1,130
1022,1,2
1023,1,8
1024,1,360
1024,2,175
1024,2,360
1024,3,97
1024,3,360
1024,4,446
1025,1,24
1026,1,101
1027,1,8
1028,1,8
1029,1,316
1030,1,31
1031,1,79
1032,1,19
1033,1,234
1034,1,27
1035,1,92
1036,1,72
1037,1,335
1037,1,361
1037,2,361
1037,2,455
1038,1,90
1039,1,362
1039,1,363
1039,1,291
1039,1,364
1039,1,176
1039,1,5
1039,1,365
1039,1,151
1039,1,17
1039,1,187
1039,1,118
1040,1,3
1041,1,366
1041,2,148
1041,3,394
1042,1,44
1043,1,19
1044,1,67
1045,1,291
1046,1,330
1047,1,219
1048,1,3
1049,1,367
1050,1,29
1051,1,334
1052,1,86
1052,2,166
1052,3,166
1053,1,128
1053,1,165
1054,1,5
1055,1,23
1055,1,368
1055,1,147
1056,1,19
1057,1,92
1058,1,24
1059,1,210
1059,1,101
1059,1,369
1059,1,370
1059,1,371
1059,1,372
1059,1,373
1059,1,374
1059,1,142
1059,1,375
1059,2,19
1060,1,140
1061,1,60
1061,2,225
1061,3,127
1061,4,19
1061,5,127
1062,1,60
1063,1,220
1064,1,122
1064,2,43
1065,1,77
1066,1,49
1066,2,514
1067,1,303
1067,1,304
1068,1,303
1068,1,304
1069,1,303
1069,1,304
1070,1,187
1071,1,2
1071,1,8
1071,2,97
1072,1,115
1073,1,65
1074,1,216
1074,2,321
1074,3,213
1075,1,301
1076,1,189
1076,1,190
1076,1,376
1076,1,377
1076,1,353
1077,1,190
1077,1,189
1077,1,376
1077,1,377
1078,1,235
1079,1,20
1080,1,347
1080,1,72
1080,2,72
1080,3,464
1081,1,28
1082,1,5
1083,1,251
1084,1,257
1084,2,94
1085,1,77
1086,1,3
1087,1,8
1088,1,115
1089,1,49
1090,1,41
1091,1,37
1092,1,316
1093,1,225
1094,1,225
1095,1,42
1096,1,56
1097,1,360
1098,1,78
1099,1,3
1100,1,240
1101,1,174
1102,1,124
1103,1,124
1104,1,37
1105,1,8
1106,1,274
1106,2,187
1106,3,76
1107,1,2
1108,1,115
1108,2,318
1109,1,32
1109,2,486
1109,3,121
1109,4,3
1109,5,25
1109,5,226
1109,6,227
1109,7,25
1109,8,211
1110,1,8
1110,2,538
1111,1,41
1112,1,47
1113,1,40
1114,1,8
1115,1,251
1115,1,161
1116,1,139
1117,1,250
1118,1,246
1119,1,167
1120,1,229
1120,2,170
1121,1,216
1122,1,56
1123,1,200
1123,2,29
1124,1,200
1125,1,225
1126,1,298
1126,2,24
1127,1,336
1128,1,8
1129,1,255
1130,1,19
1131,1,99
1132,1,95
1133,1,33
1134,1,20
1134,1,87
1135,1,380
1136,1,20
1137,1,380
1137,2,321
1137,3,213
1138,1,16
1138,1,14
1138,1,15
1139,1,60
1139,1,257
1139,2,94
1140,1,2
1141,1,44
1142,1,62
1143,1,299
1144,1,166
1145,1,2
1145,1,8
1146,1,2
1146,1,8
1146,1,382
1146,1,383
1146,2,2
1146,2,8
1146,3,347
1146,4,347
1146,5,347
1147,1,384
1148,1,87
1149,1,121
1149,2,107
1149,3,75
1149,4,73
1150,1,7
1150,1,282
1150,2,37
1151,1,9
1152,1,192
1152,1,277
1152,1,317
1152,1,234
1152,2,317
1153,1,139
1153,2,127
1153,3,127
1153,3,276
1153,3,314
1153,4,19
1153,4,127
1153,4,153
1153,5,19
1154,1,255
1155,1,175
1156,1,4
1157,1,33
1158,1,174
1159,1,237
1160,1,42
1161,1,236
1161,1,237
1162,1,154
1163,1,41
1164,1,385
1165,1,92
1166,1,142
1167,1,386
1168,1,18
1169,1,115
1170,1,101
1170,2,209
1171,1,8
1172,1,138
1173,1,296
1174,1,148
1175,1,29
1176,1,237
1177,1,354
1178,1,138
1178,1,11
1178,1,120
1179,1,42
1180,1,282
1181,1,148
1182,1,313
1183,1,225
1184,1,2
1185,1,201
1185,2,314
1186,1,82
1186,2,234
1187,1,51
1187,2,140
1188,1,148
1189,1,282
1189,2,267
1189,2,282
1190,1,148
1191,1,17
1192,1,237
1192,1,128
1193,1,24
1194,1,87
1195,1,24
1196,1,8
1197,1,24
1198,1,42
1199,1,97
1199,1,350
1199,1,388
1199,2,97
1200,1,92
1201,1,29
1202,1,3
1203,1,3
1204,1,2
1205,1,60
1206,1,232
1206,2,232
1206,3,140
1207,1,60
1208,1,42
1209,1,255
1210,1,92
1211,1,24
1212,1,201
1212,2,24
1213,1,193
1213,2,322
1213,3,193
1213,4,24
1213,4,193
1213,5,24
1213,5,197
1213,5,201
1213,6,23
1213,6,24
1213,6,94
1213,6,423
1213,7,116
1213,7,142
1213,7,192
1213,7,317
1213,7,375
1213,7,424
1213,8,23
1213,8,120
1213,8,154
1213,8,167
1213,8,200
1213,8,255
1213,8,548
1213,9,139
1213,9,142
1213,9,167
1213,9,201
1213,9,359
1213,10,139
1213,10,240
1213,10,241
1213,10,317
1213,11,92
1213,11,139
1213,11,210
1213,11,459
1213,12,139
1213,12,166
1213,12,179
1213,13,139
1213,13,201
1213,13,446
1213,14,20
1213,14,201
1213,15,446
1213,16,144
1214,1,242
1215,1,390
